week,zone_type,hour,mae
2025-07-28/2025-08-03,airport,0,57.74397439493019
2025-07-28/2025-08-03,airport,1,42.26343948976673
2025-07-28/2025-08-03,airport,2,28.065707788647597
2025-07-28/2025-08-03,airport,3,14.016517731436217
2025-07-28/2025-08-03,airport,4,18.872435882764186
2025-07-28/2025-08-03,airport,5,21.731723849150104
2025-07-28/2025-08-03,airport,6,29.394885785777344
2025-07-28/2025-08-03,airport,7,26.095766591542596
2025-07-28/2025-08-03,airport,8,35.52460546426247
2025-07-28/2025-08-03,airport,9,25.925970577080616
2025-07-28/2025-08-03,airport,10,32.62085604972089
2025-07-28/2025-08-03,airport,11,45.048750501748
2025-07-28/2025-08-03,airport,12,45.83039992732797
2025-07-28/2025-08-03,airport,13,46.08877326026859
2025-07-28/2025-08-03,airport,14,37.69986589466933
2025-07-28/2025-08-03,airport,15,53.66352021066153
2025-07-28/2025-08-03,airport,16,62.18130255896981
2025-07-28/2025-08-03,airport,17,60.783727327426575
2025-07-28/2025-08-03,airport,18,49.896285016964974
2025-07-28/2025-08-03,airport,19,50.41349658730686
2025-07-28/2025-08-03,airport,20,54.11494650068176
2025-07-28/2025-08-03,airport,21,74.3213760080754
2025-07-28/2025-08-03,airport,22,72.4443051903867
2025-07-28/2025-08-03,airport,23,34.06644669007589
2025-07-28/2025-08-03,non_airport,0,919.155675322649
2025-07-28/2025-08-03,non_airport,1,607.0076824140986
2025-07-28/2025-08-03,non_airport,2,411.5520934255785
2025-07-28/2025-08-03,non_airport,3,287.89862916333186
2025-07-28/2025-08-03,non_airport,4,186.92304709184697
2025-07-28/2025-08-03,non_airport,5,202.09052542381679
2025-07-28/2025-08-03,non_airport,6,334.6491671403561
2025-07-28/2025-08-03,non_airport,7,607.5922202426393
2025-07-28/2025-08-03,non_airport,8,812.6986005953073
2025-07-28/2025-08-03,non_airport,9,1022.4910396799474
2025-07-28/2025-08-03,non_airport,10,1060.7818206012525
2025-07-28/2025-08-03,non_airport,11,1188.834316425424
2025-07-28/2025-08-03,non_airport,12,1276.5827973399803
2025-07-28/2025-08-03,non_airport,13,1405.583423129238
2025-07-28/2025-08-03,non_airport,14,1498.8053391881374
2025-07-28/2025-08-03,non_airport,15,1611.7582523452115
2025-07-28/2025-08-03,non_airport,16,1645.6808386607147
2025-07-28/2025-08-03,non_airport,17,1841.3711421358416
2025-07-28/2025-08-03,non_airport,18,1852.1477917349916
2025-07-28/2025-08-03,non_airport,19,1957.1715084171965
2025-07-28/2025-08-03,non_airport,20,1850.1973143599994
2025-07-28/2025-08-03,non_airport,21,1711.1599580133068
2025-07-28/2025-08-03,non_airport,22,1648.7079640506195
2025-07-28/2025-08-03,non_airport,23,1281.538033444581
2025-08-04/2025-08-10,airport,0,42.539640719232466
2025-08-04/2025-08-10,airport,1,41.415137903543844
2025-08-04/2025-08-10,airport,2,21.175567972782986
2025-08-04/2025-08-10,airport,3,11.94768515271733
2025-08-04/2025-08-10,airport,4,14.043934382161899
2025-08-04/2025-08-10,airport,5,20.305391654229968
2025-08-04/2025-08-10,airport,6,35.075728780942754
2025-08-04/2025-08-10,airport,7,19.798041283976445
2025-08-04/2025-08-10,airport,8,34.08886781119304
2025-08-04/2025-08-10,airport,9,36.14321113654097
2025-08-04/2025-08-10,airport,10,43.17102062405897
2025-08-04/2025-08-10,airport,11,65.2173916158368
2025-08-04/2025-08-10,airport,12,48.5850988721547
2025-08-04/2025-08-10,airport,13,56.49785646144094
2025-08-04/2025-08-10,airport,14,42.98052038626093
2025-08-04/2025-08-10,airport,15,54.72537500177192
2025-08-04/2025-08-10,airport,16,49.52033076562324
2025-08-04/2025-08-10,airport,17,59.38423670652682
2025-08-04/2025-08-10,airport,18,41.822640349643216
2025-08-04/2025-08-10,airport,19,47.31013085748904
2025-08-04/2025-08-10,airport,20,40.4078028669309
2025-08-04/2025-08-10,airport,21,67.95091252715127
2025-08-04/2025-08-10,airport,22,87.73023173113069
2025-08-04/2025-08-10,airport,23,50.457462397240796
2025-08-04/2025-08-10,non_airport,0,843.2404010652267
2025-08-04/2025-08-10,non_airport,1,506.1470976508102
2025-08-04/2025-08-10,non_airport,2,299.3855877324626
2025-08-04/2025-08-10,non_airport,3,192.11257048128272
2025-08-04/2025-08-10,non_airport,4,109.3266915620322
2025-08-04/2025-08-10,non_airport,5,148.6393747022179
2025-08-04/2025-08-10,non_airport,6,260.474966454145
2025-08-04/2025-08-10,non_airport,7,511.757614861234
2025-08-04/2025-08-10,non_airport,8,722.1015909746724
2025-08-04/2025-08-10,non_airport,9,917.2217829473486
2025-08-04/2025-08-10,non_airport,10,994.2403458379455
2025-08-04/2025-08-10,non_airport,11,1079.1393220440439
2025-08-04/2025-08-10,non_airport,12,1207.552023441193
2025-08-04/2025-08-10,non_airport,13,1246.9360988149633
2025-08-04/2025-08-10,non_airport,14,1395.4903130619464
2025-08-04/2025-08-10,non_airport,15,1544.9501944830295
2025-08-04/2025-08-10,non_airport,16,1498.3783837779742
2025-08-04/2025-08-10,non_airport,17,1664.8626406672506
2025-08-04/2025-08-10,non_airport,18,1760.6142238428085
2025-08-04/2025-08-10,non_airport,19,1842.8698011650315
2025-08-04/2025-08-10,non_airport,20,1724.7236231438699
2025-08-04/2025-08-10,non_airport,21,1547.659484832174
2025-08-04/2025-08-10,non_airport,22,1511.11934285864
